name,url,category,fit,status,notes
AI Tinkerers Cologne,https://cologne.aitinkerers.org/,Meetup,Medium,probation,Builders demo their work every 6 to 8 weeks. Next 30 Sep
Cologne Startup Summer Night,https://koeln.business/veranstaltungs-detail/cologne-startup-summer-night,Yearly event,Medium,probation,"July, Startup Village with 10 startups. 24 Sep run: 2026 edition was 8 Jul"
STARTUPLAND,https://startupland.de/,Conference,Medium,probation,"Yearly in March, founder and investor keynotes. 24 Sep run: site failed to load (robots.txt timeout)"
Gründertag Köln,https://www.gruendertag-koeln.de/programm,Yearly event,Medium,probation,"Founder talk slot ""Jetzt mal ehrlich!"". Next 9 Jul 2027. 24 Sep run: nothing in window"
Sparkasse KölnBonn founder events,https://www.sparkasse-koelnbonn.de/fi/home/branchen-und-berufe/gruendung-und-nachfolge/veranstaltungen-und-termine.html,Bank,Medium,probation,"Impact Pitch Night 3 Nov, Women's Future Day"
IHK Köln Frauen-Business-Tag,https://www.ihk.de/koeln/hauptnavigation/ihre-ihk/frauen-business-tag-5716252,Chamber of commerce,Medium,probation,"Yearly, named women business leaders. 24 Sep run: 2026 edition was 24 Sep, one day before the window"
TEDxCBS Cologne,https://www.ted.com/tedx/events/63931,Talk series,Medium,probation,"Yearly in May or June, founders among the speakers. 24 Sep run: TED page is stale, current page is study.cbs.de/en/tedxcbs-cologne"
ASS Sportbusiness-Talk,https://www.ass-alumni.de/en/services/ass-sportbusiness-talk/,Talk series,Medium,probation,"Yearly in late autumn, athletes and sport founders. 24 Sep run: no talk listed since Nov 2023"
Deutsches Sport & Olympia Museum,https://sportmuseum.de/unser-museum/aktuelles,Venue,Medium,probation,Athlete talks and book launches. Next 15 Oct
The Offline Club Cologne,https://luma.com/theofflineclubcologne,Community,Medium,probation,"Offline hangouts, close to the ""alternative to bars"" theme. The organiser is a possible guest. 24 Sep run: Luma event dates need JavaScript, none could be placed"
Design Season Cologne,https://designseasoncologne.com/programme-2026,Festival,Medium,probation,"Makers and design brands, 26 to 31 Oct. 24 Sep run: programme page has no dates yet"
PASSAGEN design programme,https://koeln.business/branchen/design/passagen,Festival,Medium,probation,"Panels on creative entrepreneurship, yearly in January. 24 Sep run: nothing until Jan 2027"
Videodays Festival,https://videodays-festival.com/,Creator conference,Medium,probation,29 Oct at Palladium. 24 Sep run: nothing in window
The Podcast Summit,https://podcastsummit.de/,Conference,Medium,probation,"8 Oct, ticket €349. 24 Sep run: nothing in window, 11 speakers already named for 8 Oct"
FIBO,https://www.fibo.com/germany/de-de/programm.html,Trade fair,Medium,probation,"Fitness founders and athletes, 8 to 11 Apr 2027. 24 Sep run: nothing in window"
Impact.Cologne,https://impact.cologne/suche?category=events,Sustainability network,Medium,probation,Spotlights and meetups with green founders. 24 Sep run: events filter is empty
ProductTank Cologne,https://www.meetup.com/producttank-cologne/,Meetup,Medium,probation,"Product leaders, some founders"
Women in AI Cologne,https://www.eventbrite.com/e/women-in-ai-cologne-meetup-6-fachgpts-einfuhren-skalieren-betreiben-tickets-1990089338784,Meetup series,Medium,probation,"Numbered series, organiser page still to find. 24 Sep run: no new date found, organiser page still not found"
Golden Females,https://golden-females.de/events/,Women's network,Medium-low,probation,"Monthly meetups and breakfasts, networking only"
Campus Start-ups NRW,https://www.campus-start-ups.nrw/aktuelles/events,Regional calendar,Medium-low,probation,Cross-check for university formats
Gateway Factory,https://www.gateway-factory.de/events,Deep tech accelerator,Low,candidate,"Events in Aachen and Siegen, now in scope"
InsurLab Germany,https://insurlab-germany.com/en/events/,Insurtech accelerator,Low,candidate,Mostly corporate. 24 Sep run: only a closed executive meetup and a webinar in window
Gateway Gründungsnetz,https://gateway-gruendungsnetz.de/veranstaltungen,Network,Low,candidate,Workshops
Venture Padel Tour,https://luma.com/venturepadel,Luma calendar,Low,candidate,"Founder social, no stage. 24 Sep run: #3 was 24 Sep, one day before the window"
Science Slam Köln,https://www.scienceslam.de/staedte/science-slam-koeln/,Slam series,Low,candidate,"Scientists rather than founders. 24 Sep run: 24 Sep edition just before the window, next 5 Nov"
MANUFACT.event,https://www.manufact-event.de/,Design market,Low,candidate,"Makers, no talks. 24 Sep run: markets only, next 11 Oct"
DingFabrik,https://dingfabrik.de/veranstaltungen/,Maker space,Low,candidate,"Community, no talks. 24 Sep run: weekly open evening, no stage"
h+h cologne,https://www.hh-cologne.com/,Trade fair,Low,candidate,"Craft brands, April 2027. 24 Sep run: nothing until April 2027"
"Frankfurt Coffee Festival, Cologne",https://www.frankfurt-coffee-festival.de/,Festival,Low,candidate,"Roasters, April 2027. 24 Sep run: nothing until April 2027"
Kölner Brauschau,https://brauschau.koeln/,Festival,Low,candidate,Hobby brewers. 24 Sep run: next edition not announced
Scuderia Südstadt,https://scuderia-suedstadt.de/,Cycling club,Low,candidate,Community builders
Hybrid Athletes,https://hybridathletes.site/,Run club,Low,candidate,No talks
c/o pop Convention,https://c-o-pop.de/convention,Convention,Low,candidate,"Music business, April 2027"
Sportplatzwelt LIVE,https://www.sportplatzwelt-live.de/,Conference,Low,candidate,Sport administration
GRENZGANG,https://www.grenzgang.de/programm/,Talk organiser,Low,candidate,"Travel talks, none confirmed for 2026"
Chaos Computer Club Cologne,https://koeln.ccc.de/,Hacker space,Low,candidate,"Monthly talks, technical"
Social Rising Cologne,https://www.meetup.com/de-de/social-rising-cologne/,Creator meetup,Low,candidate,Mostly online
Cologne Digital,https://www.meetup.com/cologne-digital/,Meetup,Low,candidate,Irregular
Womans Business Club,https://wbc-cologne.de/veranstaltungen/,Women's network,Low,candidate,Expert talks
Brainberg Cologne,https://brainberg.eu/events/in/germany/cologne,Aggregator,Low,candidate,For finding new groups
"Eventbrite, Köln startup",https://www.eventbrite.de/d/germany--k%C3%B6ln/startup/,Platform,Low,candidate,"City pages refuse automated access, organiser pages work"
"Luma and Meetup, Cologne",,Platform,Low,candidate,No strong Cologne founder calendar found yet
CreativeMornings/Düsseldorf,https://creativemornings.com/cities/dus,Talk series,High,candidate,"Monthly breakfast talk with a named creative. 25 Sep Lukas Philipp Schulz. Found by rotating search, 24 Sep run"
Literaturhaus Köln,https://literaturhaus-koeln.de/programm/,Venue and talk series,Medium,candidate,"Weekly readings and panels with named authors. From seed, 24 Sep run"
TechHub.K67 Düsseldorf,https://techhubk67.de/en/events-duesseldorf/,Venue,Medium,candidate,"Active calendar, Startup Week and pitch parties, few names. From seed Founders' Dialogue, 24 Sep run"
Digital Hub Bonn,https://www.digitalhub.de/events/eventkalender-intern,Hub,Medium,candidate,"About monthly, Startup X Community Breakfast 7 Oct. External calendar needs JavaScript. From seed, 24 Sep run"
Collective Incubator Aachen,https://cloud.collective-incubator.de/events,Incubator,High,candidate,"Monthly Founders' Roundtable, Pitch Lab Night 20 Oct. From seed NRW names, 24 Sep run"
digitalHUB Aachen events,https://aachen.digital/events/,Hub and calendar,High,candidate,"Aggregates Aachen founder events, many trainings. Found by rotating search, 24 Sep run"
Gründerallianz Ruhr,https://www.meetup.com/grunderallianz-ruhr/,Meetup,Medium,candidate,"Frequent Ruhr events, many online or paid. Now BRYCK Startup Alliance. From seed NRW names, 24 Sep run"
TechnologieZentrumDortmund,https://www.tzdo.de/veranstaltungen/,Tech centre,Medium,candidate,"3rd Wednesday founder evening, next 18 Nov. From seed NRW names, 24 Sep run"
Startup Week Düsseldorf,https://startupweek-dus.com/,Yearly event,Medium,candidate,"About 90 events each September. From seed NRW names, 24 Sep run"
ruhrSUMMIT,https://www.business.ruhr/r26.html,Yearly conference,Medium,candidate,"Bochum, next 16 to 17 Jun 2027. From seed NRW names, 24 Sep run"
REACH Start-up Center Münster,https://www.reach-euregio.de/events,University startup centre,High,candidate,"Start-up Night about twice a year. Site needs JavaScript, dates found via evis.events by search. From seed NRW names, 24 Sep run"
FuckUp Night Ruhrgebiet,https://fun-ruhr.de/,Talk series,High,candidate,"Rotates Essen, Herne, Neuss, Bochum, Duisburg. Next 14 Oct Essen. Found by rotating search, 24 Sep run"
ruhrpitch,https://www.ruhrpitch.de/,Pitch series,Medium,candidate,"Wirtschaftsjunioren Duisburg and Essen, last 21 Sep. Found by rotating search, 24 Sep run"
startport Duisburg,https://www.startport.net/en/events/,Logistics accelerator,Low,candidate,"Deep dives, no named people. Found by rotating search, 24 Sep run"
Bochum Startup,https://www.bochum-startup.de/termine/,City calendar,Medium,candidate,"HS Bochum Gründungsservice, mostly workshops. Found by rotating search, 24 Sep run"
münster gründet!,https://www.muenster-gruendet.de/veranstaltungen/,City calendar,Low,candidate,"Mostly trainings, Gründungstage 9 to 11 Nov. Found by rotating search, 24 Sep run"
Die Kompaneras Münster,https://kompanera.de/veranstaltungen/,Women founders network,Medium,candidate,"Gründerinnenwerkstatt from 5 Oct. Found via münster gründet!, 24 Sep run"
Digital Hub münsterLAND,https://www.meetup.com/digitalhubms/,Hub,Medium,candidate,"Hub Start #15 on 10 Nov. Own site timed out. Found by rotating search, 24 Sep run"
StartupDorf,https://www.startupdorf.de/,Startup association,Medium,candidate,"Power Pitch 7 Oct at WHU, monthly Gründerstammtisch. Found by rotating search, 24 Sep run"
VC-Stammtisch Düsseldorf,https://www.vc-stammtisch.net/,Lunch series,Medium,candidate,"Monthly VC lunch with a keynote, speaker often tba. Found by rotating search, 24 Sep run"
AI Tinkerers Düsseldorf,https://dusseldorf.aitinkerers.org/,Meetup,Medium,candidate,"Only the first meetup on 14 Jul so far. Found by rotating search, 24 Sep run"
Makers & Minds Düsseldorf,https://luma.com/makers-minds,Community,Medium,candidate,"Stammtisch for creatives and founders, dates need JavaScript. Found by rotating search, 24 Sep run"
Game Creators Cologne,https://www.meetup.com/gamecreatorscologne/,Creative meetup,Medium,candidate,"Monthly at Lost Level, #07 on 1 Oct. Found via Brainberg, 24 Sep run"
Foodhub NRW,https://foodhub-nrw.de/,Food startup network,Medium,candidate,"Ideenfutter Expo 1 Oct in Neuss. Found via Campus Start-ups NRW, 24 Sep run"
Legal Hackathon Cologne,https://legalhackathon.de/,Yearly hackathon,Medium,candidate,"Jury and founder talk named. Found via Gateway Factory, 24 Sep run"
IHK Bonn/Rhein-Sieg events,https://event.ihk-bonn.de/,Chamber of commerce,Medium,candidate,"Frauen-Zukunftstag, Gründungscamp 21 Nov. Found via Sparkasse KölnBonn, 24 Sep run"
H-BRS founder events,https://www.h-brs.de/de/gruenden/termin/impact-pitch-26,University,Medium,candidate,"Impact Pitch Night 3 Nov. Found via Sparkasse KölnBonn, 24 Sep run"
enaCom Uni Bonn,https://www.uni-bonn.de/en/events/female-founders-meetup,University transfer centre,Medium,candidate,"Female Founders Meetup and Venture Summit. Found by rotating search, 24 Sep run"
"FAIME, Der größte Pitch",https://www.faime.de/events/der-groesste-pitch,Yearly pitch,Medium,candidate,"2027 edition announced, no date yet. From seed, 24 Sep run"
GITEX Startup Pitch Roadshow,https://www.gitexeurope.com/startup-pitch-roadshow,Pitch series,Low,candidate,"Cologne stop was 25 Nov 2025, watch for 2026. From seed North Star Nights, 24 Sep run"
"The Monday Talks, BüzE Ehrenfeld",https://bueze.de/event/monday-talks/,Talk series,Low,candidate,"Monthly feminist talk show, guests rarely named early. From seed, 24 Sep run"
WHO:IN,https://www.whoin.de,Organiser,Low,candidate,"Ran Female Founders Festival, dormant since 2024. From seed, 24 Sep run"
Businettes Köln Club,https://www.businettes.com/events/koeln-club,Women founders network,Low,candidate,"Monthly women founders' Stammtisch, last date seen 2023. From seed, added 25 Sep"
"Startup Open Air, Sparkasse KölnBonn Stiftungen",https://stiftungen.sparkasse-koelnbonn.de/events/startup-open-air/,Yearly event,Low,candidate,"From seed, added 25 Sep"
KölnDesign e.V.,https://www.koelndesign.de/news-termine,Community,Low,candidate,"From seed, added 25 Sep"
"SportsInnovation, Düsseldorf",https://www.sportsinnovation.de/programm,Conference,Low,candidate,"Yearly sport business conference with a startup award. From seed, added 25 Sep"
Wirtschaftsjunioren Köln,https://wjkoeln.de/bevorstehende-events,Young business network,,manual,Blocks automated access
"Kölner Startup Stammtisch, Rotonda",https://rotonda.de/programm/kolner-startup-stammtisch-3/,Stammtisch,,manual,Could not be loaded
Gründerküche Termin-Highlights,https://www.gruenderkueche.de/,Weekly NRW roundup,,manual,"Could not be loaded, worth subscribing to"
PechaKucha Night Köln,,Talk series,,manual,"Status unknown, pages blocked"
Stadtbibliothek Köln events,https://stadt-koeln.easy2book.de/?filter_category=2,Library,,manual,Needs JavaScript to load
"Gründen.nrw, Köln filter",,Regional calendar,,retired,0 events for Köln
Digital Hub Cologne,,Hub,,retired,Nothing newer than 2024
Cologne Startup Week,,Yearly event,,retired,Site redirects to Techstars
TEDxKoeln,,Talk series,,retired,Dormant since 2015
Webmontag Köln,,Meetup,,retired,Last event in 2019
BarCamp Köln,,Barcamp,,retired,Inactive
IHK Köln event search,,Chamber of commerce,,retired,"0 results, replaced by the Frauen-Business-Tag entry"
Gateway startups,https://gateway-unikoeln.de/en/startingup/unsere-startups,Startup portfolio,High,candidate,"The University of Cologne start-up centre. A page about each startup, over several pages"
